股票文件,平均RAE(三轮),平均RSE(三轮)
000009.SZ.xlsx,0.4665244,0.37084302
000564.SZ.xlsx,1.5590712,1.8047758
000592.SZ.xlsx,0.26014245,0.10411862
000721.SZ.xlsx,0.7879534,1.160253
000725.SZ.xlsx,0.17460157,0.033477336
002027.SZ.xlsx,0.12005966,0.01589268
002044.SZ.xlsx,4.3837852,32.879147
002178.SZ.xlsx,0.41755423,0.2548239
002607.SZ.xlsx,1.1547538,1.4465171
002717.SZ.xlsx,1.1400181,1.3826753
300182.SZ.xlsx,0.12861066,0.020474495
300736.SZ.xlsx,0.13089459,0.025147364
600048.SH.xlsx,0.24909782,0.1101196
600050.SH.xlsx,1.0815097,1.4913449
600157.SH.xlsx,0.25234708,0.07691025
600221.SH.xlsx,0.19445042,0.0460688
601288.SH.xlsx,0.73399496,0.6496533
601668.SH.xlsx,0.20147938,0.05838141
601899.SH.xlsx,1.1689063,2.21017
